DateTime,total_balance
2010/3/31,6590646
2010/4/1,13746070
2010/4/2,13212940
2010/4/6,14537657
2010/4/7,36650247
2010/4/8,44767672
2010/4/9,70515197
2010/4/12,113892203
2010/4/13,120432198
2010/4/14,121137803
2010/4/15,151448464
2010/4/16,179656224
2010/4/19,188278275
2010/4/20,194380409
2010/4/21,206098427
2010/4/22,259268519
2010/4/23,264060444
2010/4/26,304080315
2010/4/27,324428034
2010/4/28,357841334
2010/4/29,372577649
2010/4/30,384819689
2010/5/4,399746691
2010/5/5,481797938
2010/5/6,534618679
2010/5/7,532759356
2010/5/10,561841895
2010/5/11,596670590
2010/5/12,623808929
2010/5/13,642905219
2010/5/14,671905777
2010/5/17,737611099
2010/5/18,755388103
2010/5/19,773206132
2010/5/20,803989919
2010/5/21,832713879
2010/5/24,929620140
2010/5/25,955264706
2010/5/26,947547826
2010/5/27,991098640
2010/5/28,1028200032
2010/5/31,1042323138
2010/6/1,1067421437
2010/6/2,1086608316
2010/6/3,1136676742
2010/6/4,1151981451
2010/6/7,1146328493
2010/6/8,1144467374
2010/6/9,1247376485
2010/6/10,1254263861
2010/6/11,1252027440
2010/6/17,1276191483
2010/6/18,1308912538
2010/6/21,1361060764
2010/6/22,1403347823
2010/6/23,1403797146
2010/6/24,1444651067
2010/6/25,1444468599
2010/6/28,1491119187
2010/6/29,1474535516
2010/6/30,1497974455
2010/7/1,1484461043
2010/7/2,1512393488
2010/7/5,1612202373
2010/7/6,1673131846
2010/7/7,1711995627
2010/7/8,1754771555
2010/7/9,1820839700
2010/7/12,1925463160
2010/7/13,2021931635
2010/7/14,2004506379
2010/7/15,2034374155
2010/7/16,2074280370
2010/7/19,2060258554
2010/7/20,2232538346
2010/7/21,2271811687
2010/7/22,2314637100
2010/7/23,2362390651
2010/7/26,2418220750
2010/7/27,2467745940
2010/7/28,2478146064
2010/7/29,2483057883
2010/7/30,2530558755
2010/8/2,2646434566
2010/8/3,2718079754
2010/8/4,2798891579
2010/8/5,2885089164
2010/8/6,2908419737
2010/8/9,2939471027
2010/8/10,2949493101
2010/8/11,3019174683
2010/8/12,2981619374
2010/8/13,3031602811
2010/8/16,3152472385
2010/8/17,3201271626
2010/8/18,3267528876
2010/8/19,3346439381
2010/8/20,3355448123
2010/8/23,3405393065
2010/8/24,3568455303
2010/8/25,3579430475
2010/8/26,3571488791
2010/8/27,3635760008
2010/8/30,3691496312
2010/8/31,3781315312
2010/9/1,3861368972
2010/9/2,3897071855
2010/9/3,3841397793
2010/9/6,3923693339
2010/9/7,3923112524
2010/9/8,4112667939
2010/9/9,4197165161
2010/9/10,4252667045
2010/9/13,4357515477
2010/9/14,4378500425
2010/9/15,4364937187
2010/9/16,4413706007
2010/9/17,4448713171
2010/9/20,4509802828
2010/9/21,4464113751
2010/9/27,4589146593
2010/9/28,4618907180
2010/9/29,4654919852
2010/9/30,4702004767
2010/10/8,4795560335
2010/10/11,4756439405
2010/10/12,4856489294
2010/10/13,5012102737
2010/10/14,5019306903
2010/10/15,5178840353
2010/10/18,5205509925
2010/10/19,5423650360
2010/10/20,5725540649
2010/10/21,5871298515
2010/10/22,6060135282
2010/10/25,6398020679
2010/10/26,6554305206
2010/10/27,6784739631
2010/10/28,6922423223
2010/10/29,6974215488
2010/11/1,7220925832
2010/11/2,7214148914
2010/11/3,7367930060
2010/11/4,7596718005
2010/11/5,7801355153
2010/11/8,8197464503
2010/11/9,8459422492
2010/11/10,8785693126
2010/11/11,9061417692
2010/11/12,8720790863
2010/11/15,9050597348
2010/11/16,8969388826
2010/11/17,9066402283
2010/11/18,9055625522
2010/11/19,8849443397
2010/11/22,9063909039
2010/11/23,9066464088
2010/11/24,9238041317
2010/11/25,9459730366
2010/11/26,9401706984
2010/11/29,9436652176
2010/11/30,9410403539
2010/12/1,9453301022
2010/12/2,9562314208
2010/12/3,9665775732
2010/12/6,9778260122
2010/12/7,9889548693
2010/12/8,9961748634
2010/12/9,10215093478
2010/12/10,10417782544
