DateTime,Shibor
2006/10/8,2.1184
2006/10/9,2.099
2006/10/10,2.0922
2006/10/11,2.0955
2006/10/12,2.0943
2006/10/13,2.0889
2006/10/16,2.0801
2006/10/17,2.0746
2006/10/18,2.0723
2006/10/19,2.0667
2006/10/20,2.0665
2006/10/23,2.0573
2006/10/24,2.0569
2006/10/25,2.0592
2006/10/26,2.117
2006/10/27,2.1568
2006/10/30,2.16
2006/10/31,2.1885
2006/11/1,2.2023
2006/11/2,2.2057
2006/11/3,2.2055
2006/11/6,2.2312
2006/11/7,2.3023
2006/11/8,2.4264
2006/11/9,2.5177
2006/11/10,2.6198
2006/11/13,2.8071
2006/11/14,3.6074
2006/11/15,3.5355
2006/11/16,3.2292
2006/11/17,3.1918
2006/11/20,3.2645
2006/11/21,3.4289
2006/11/22,3.5158
2006/11/23,3.5399
2006/11/24,3.5101
2006/11/27,3.205
2006/11/28,2.7744
2006/11/29,2.5547
2006/11/30,2.4161
2006/12/1,2.337
2006/12/4,2.1803
2006/12/5,2.1095
2006/12/6,2.064
2006/12/7,2.0063
2006/12/8,1.9919
2006/12/11,1.9914
2006/12/12,1.9181
2006/12/13,1.8931
2006/12/14,1.8589
2006/12/15,1.7777
2006/12/18,1.7247
2006/12/19,1.6566
2006/12/20,1.613
2006/12/21,1.6015
2006/12/22,1.6311
2006/12/25,1.6123
2006/12/26,1.6431
2006/12/27,1.7185
2006/12/28,1.7107
2006/12/29,1.7203
2006/12/30,1.5651
2006/12/31,1.5675
2007/1/4,1.431
2007/1/5,1.4047
2007/1/8,1.3721
2007/1/9,1.3546
2007/1/10,1.3519
2007/1/11,1.3344
2007/1/12,1.3051
2007/1/15,1.2997
2007/1/16,1.2809
2007/1/17,1.3171
2007/1/18,1.4236
2007/1/19,1.4126
2007/1/22,1.4197
2007/1/23,1.5972
2007/1/24,1.7079
2007/1/25,1.7541
2007/1/26,1.7889
2007/1/29,1.783
2007/1/30,1.7838
2007/1/31,1.778
2007/2/1,1.7602
2007/2/2,1.7549
2007/2/5,1.7593
2007/2/6,1.7848
2007/2/7,1.8392
2007/2/8,1.8983
2007/2/9,2.7851
2007/2/12,4.0016
2007/2/13,3.3685
2007/2/14,4.0174
